,precision,recall,f1-score,support
0-12,0.7463917525773196,0.70703125,0.7261785356068204,512.0
13-24,0.4528301886792453,0.22900763358778625,0.3041825095057034,524.0
25-39,0.5786130227633669,0.7616724738675958,0.6576413959085439,1435.0
40-59,0.45194274028629855,0.32404692082111436,0.3774551665243382,682.0
60+,0.5817757009345794,0.6178660049627791,0.5992779783393501,403.0
accuracy,0.5750843644544432,0.5750843644544432,0.5750843644544432,0.5750843644544432
macro avg,0.562310681048162,0.5279248566478552,0.5329471171769512,3556.0
weighted avg,0.5602997300913484,0.5750843644544432,0.5550742118056238,3556.0
