,precision,recall,f1-score,support
0-12,0.941908713692946,0.88671875,0.9134808853118712,512.0
13-24,0.5186567164179104,0.5305343511450382,0.5245283018867924,524.0
25-39,0.7215836526181354,0.7874564459930313,0.753082305898034,1435.0
40-59,0.6822107081174439,0.5791788856304986,0.626486915146709,682.0
60+,0.7938931297709924,0.7741935483870968,0.7839195979899497,403.0
accuracy,0.7224409448818898,0.7224409448818898,0.7224409448818898,0.7224409448818898
macro avg,0.7316505841234856,0.7116163962311329,0.7202996012466713,3556.0
weighted avg,0.7240474006059068,0.7224409448818898,0.7217131120787518,3556.0
