stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
A,1,0.8531765689227979,0.6388236003133851,0.7180054053680969,0.6808211473565804,0.6666750136088991,0.0002
A,2,0.6785373712027115,0.7111432531790514,0.7144002761561905,0.7134420697412823,0.6847885075035454,0.0002
A,3,0.5951384298159,0.7469414813475562,0.6975872648043895,0.7010686164229472,0.6980397119248665,0.0002
B,4,0.4333527059877055,0.8208280600253118,0.7112361122304061,0.7162542182227222,0.7119902897257541,5e-05
B,5,0.36180402436840065,0.8516844452479961,0.7534267268781587,0.7151293588301463,0.7107549575561363,5e-05
B,6,0.3026757598038228,0.8786235159404568,0.8399752272529731,0.7089426321709786,0.7062550787107862,5e-05
B,7,0.2459738517870116,0.9033327306695594,0.9170249208422426,0.7072553430821147,0.6976316683519985,5e-05
B,8,0.22324165633435578,0.9124932200325439,0.942092676666912,0.7201912260967379,0.7084583295695773,5e-05
